Freq.	V(vout)/V(vin)
1.28600360036003e+008	(1.74006390867960e+001dB,1.77072984367386e+002°)
1.28637863786378e+008	(1.74006401007615e+001dB,1.77071813914905e+002°)
1.28675367536753e+008	(1.74006411148408e+001dB,1.77070643556557e+002°)
1.28712871287128e+008	(1.74006421290006e+001dB,1.77069473292233e+002°)
1.28750375037503e+008	(1.74006431432799e+001dB,1.77068303121884e+002°)
1.28787878787878e+008	(1.74006441576711e+001dB,1.77067133045435e+002°)
1.28825382538253e+008	(1.74006451721867e+001dB,1.77065963062772e+002°)
1.28862886288628e+008	(1.74006461867553e+001dB,1.77064793173819e+002°)
1.28900390039003e+008	(1.74006472014785e+001dB,1.77063623378541e+002°)
1.28937893789378e+008	(1.74006482162929e+001dB,1.77062453676809e+002°)
1.28975397539753e+008	(1.74006492311961e+001dB,1.77061284068555e+002°)
1.29012901290128e+008	(1.74006502462347e+001dB,1.77060114553712e+002°)
1.29050405040504e+008	(1.74006512613644e+001dB,1.77058945132188e+002°)
1.29087908790879e+008	(1.74006522766049e+001dB,1.77057775803913e+002°)
1.29125412541254e+008	(1.74006532919589e+001dB,1.77056606568800e+002°)
1.29162916291629e+008	(1.74006543074258e+001dB,1.77055437426768e+002°)
1.29200420042004e+008	(1.74006553229869e+001dB,1.77054268377738e+002°)
1.29237923792379e+008	(1.74006563386806e+001dB,1.77053099421633e+002°)
1.29275427542754e+008	(1.74006573544800e+001dB,1.77051930558372e+002°)
1.29312931293129e+008	(1.74006583703792e+001dB,1.77050761787895e+002°)
1.29350435043504e+008	(1.74006593863807e+001dB,1.77049593110090e+002°)
1.29387938793879e+008	(1.74006604025115e+001dB,1.77048424524901e+002°)
1.29425442544254e+008	(1.74006614187334e+001dB,1.77047256032222e+002°)
1.29462946294629e+008	(1.74006624350710e+001dB,1.77046087632004e+002°)
1.29500450045004e+008	(1.74006634515198e+001dB,1.77044919324164e+002°)
1.29537953795379e+008	(1.74006644680796e+001dB,1.77043751108603e+002°)
1.29575457545754e+008	(1.74006654847523e+001dB,1.77042582985270e+002°)
1.29612961296129e+008	(1.74006665015274e+001dB,1.77041414954056e+002°)
1.29650465046504e+008	(1.74006675184365e+001dB,1.77040247014913e+002°)
1.29687968796879e+008	(1.74006685354458e+001dB,1.77039079167746e+002°)
1.29725472547254e+008	(1.74006695525566e+001dB,1.77037911412483e+002°)
1.29762976297629e+008	(1.74006705697809e+001dB,1.77036743749027e+002°)
1.29800480048004e+008	(1.74006715871215e+001dB,1.77035576177325e+002°)
1.29837983798379e+008	(1.74006726045898e+001dB,1.77034408697294e+002°)
1.29875487548754e+008	(1.74006736221569e+001dB,1.77033241308847e+002°)
1.29912991299129e+008	(1.74006746398365e+001dB,1.77032074011913e+002°)
1.29950495049504e+008	(1.74006756575852e+001dB,1.77030906806388e+002°)
1.29987998799879e+008	(1.74006766755454e+001dB,1.77029739692250e+002°)
1.30025502550254e+008	(1.74006776935715e+001dB,1.77028572669384e+002°)
1.30063006300629e+008	(1.74006787117058e+001dB,1.77027405737705e+002°)
1.30100510051004e+008	(1.74006797299382e+001dB,1.77026238897150e+002°)
1.30138013801379e+008	(1.74006807483004e+001dB,1.77025072147655e+002°)
1.30175517551754e+008	(1.74006817667920e+001dB,1.77023905489119e+002°)
1.30213021302130e+008	(1.74006827853538e+001dB,1.77022738921461e+002°)
1.30250525052505e+008	(1.74006838040973e+001dB,1.77021572444639e+002°)
1.30288028802880e+008	(1.74006848229011e+001dB,1.77020406058543e+002°)
1.30325532553255e+008	(1.74006858418417e+001dB,1.77019239763107e+002°)
1.30363036303630e+008	(1.74006868609215e+001dB,1.77018073558278e+002°)
1.30400540054005e+008	(1.74006878800723e+001dB,1.77016907443922e+002°)
1.30438043804380e+008	(1.74006888993542e+001dB,1.77015741420013e+002°)
1.30475547554755e+008	(1.74006899187714e+001dB,1.77014575486466e+002°)
1.30513051305130e+008	(1.74006909382951e+001dB,1.77013409643181e+002°)
1.30550555055505e+008	(1.74006919579360e+001dB,1.77012243890114e+002°)
1.30588058805880e+008	(1.74006929776920e+001dB,1.77011078227155e+002°)
1.30625562556255e+008	(1.74006939975698e+001dB,1.77009912654268e+002°)
1.30663066306630e+008	(1.74006950175375e+001dB,1.77008747171323e+002°)
1.30700570057005e+008	(1.74006960376432e+001dB,1.77007581778284e+002°)
1.30738073807380e+008	(1.74006970578700e+001dB,1.77006416475084e+002°)
1.30775577557755e+008	(1.74006980782120e+001dB,1.77005251261611e+002°)
1.30813081308130e+008	(1.74006990986687e+001dB,1.77004086137824e+002°)
1.30850585058505e+008	(1.74007001192339e+001dB,1.77002921103609e+002°)
1.30888088808880e+008	(1.74007011399478e+001dB,1.77001756158938e+002°)
1.30925592559255e+008	(1.74007021607420e+001dB,1.77000591303690e+002°)
1.30963096309630e+008	(1.74007031817032e+001dB,1.76999426537826e+002°)
1.31000600060005e+008	(1.74007042027429e+001dB,1.76998261861250e+002°)
1.31038103810380e+008	(1.74007052239203e+001dB,1.76997097273889e+002°)
1.31075607560755e+008	(1.74007062451862e+001dB,1.76995932775662e+002°)
1.31113111311130e+008	(1.74007072666138e+001dB,1.76994768366518e+002°)
1.31150615061505e+008	(1.74007082881616e+001dB,1.76993604046372e+002°)
1.31188118811880e+008	(1.74007093098082e+001dB,1.76992439815129e+002°)
1.31225622562255e+008	(1.74007103315728e+001dB,1.76991275672723e+002°)
